"tanggal","pm10","no2"
"2023-10-01",75,29
"2023-10-02",76,31
"2023-10-03",58,26
"2023-10-04",65,33
"2023-10-05",62,26
"2023-10-06",59,26
"2023-10-07",72,38
"2023-10-08",64,27
"2023-10-09",58,23
"2023-10-10",59,26
"2023-10-11",53,26
"2023-10-12",62,33
"2023-10-13",63,26
"2023-10-14",65,32
"2023-10-15",62,22
"2023-10-16",59,24
"2023-10-17",61,25
"2023-10-18",64,34
"2023-10-19",65,30
"2023-10-20",62,23
"2023-10-21",63,33
"2023-10-22",60,25
"2023-10-23",62,27
"2023-10-24",63,35
"2023-10-25",58,32
"2023-10-26",65,37
"2023-10-27",67,36
"2023-10-28",66,36
"2023-10-29",65,26
"2023-10-30",59,29
"2023-10-31",67,33
"2023-11-01",61,41
"2023-11-02",58,38
"2023-11-03",64,37
"2023-11-04",68,41
"2023-11-05",51,29
"2023-11-06",53,29
"2023-11-07",60,30
"2023-11-08",55,25
"2023-11-09",61,30
"2023-11-10",64,33
"2023-11-11",64,30
"2023-11-12",57,25
"2023-11-13",58,29
"2023-11-14",57,26
"2023-11-15",47,30
"2023-11-16",57,37
"2023-11-17",52,36
"2023-11-18",53,31
"2023-11-19",54,24
"2023-11-20",52,24
"2023-11-21",57,30
"2023-11-22",50,30
"2023-11-23",56,30
"2023-11-24",70,38
"2023-11-25",65,29
"2023-11-26",55,25
"2023-11-27",58,26
"2023-11-28",62,34
"2023-11-29",58,26
"2023-11-30",38,34
"2023-12-01",54,13
"2023-12-02",53,12
"2023-12-03",60,12
"2023-12-04",58,12
"2023-12-05",54,12
"2023-12-06",58,13
"2023-12-07",48,12
"2023-12-08",51,11
"2023-12-09",58,14
"2023-12-10",28,7
"2023-12-11",43,8
"2023-12-12",25,6
"2023-12-13",29,5
"2023-12-14",27,5
"2023-12-15",27,5
"2023-12-16",46,7
"2023-12-17",59,9
"2023-12-18",64,12
"2023-12-19",58,13
"2023-12-20",65,12
"2023-12-21",53,13
"2023-12-22",39,9
"2023-12-23",31,7
"2023-12-24",56,13
"2023-12-25",38,9
"2023-12-26",41,11
"2023-12-27",36,7
"2023-12-28",33,7
"2023-12-29",23,7
"2023-12-30",38,9
"2023-12-31",54,12
"2024-01-01",64,30
"2024-01-02",53,28
"2024-01-03",52,27
"2024-01-04",30,77
"2024-01-05",22,44
"2024-01-06",49,36
"2024-01-07",52,44
"2024-01-08",49,32
"2024-01-09",50,31
"2024-01-10",49,41
"2024-01-11",51,36
"2024-01-12",30,21
"2024-01-13",34,25
"2024-01-14",39,20
"2024-01-15",55,30
"2024-01-16",41,24
"2024-01-17",45,30
"2024-01-18",45,27
"2024-01-19",19,20
"2024-01-20",26,17
"2024-01-21",36,14
"2024-01-22",24,11
"2024-01-23",20,12
"2024-01-24",31,14
"2024-01-25",43,22
"2024-01-26",39,26
"2024-01-27",21,22
"2024-01-28",35,30
"2024-01-29",30,28
"2024-01-30",39,28
"2024-01-31",25,30
"2024-02-01",52,37
"2024-02-02",50,26
"2024-02-03",33,22
"2024-02-04",24,14
"2024-02-05",38,28
"2024-02-06",47,32
"2024-02-07",32,22
"2024-02-08",42,20
"2024-02-09",51,31
"2024-02-10",46,20
"2024-02-11",39,23
"2024-02-12",33,23
"2024-02-13",39,28
"2024-02-14",25,24
"2024-02-15",35,29
"2024-02-16",57,40
"2024-02-17",36,23
"2024-02-18",38,26
"2024-02-19",46,39
"2024-02-20",42,31
"2024-02-21",52,37
"2024-02-22",56,35
"2024-02-23",38,29
"2024-02-24",38,19
"2024-02-25",26,19
"2024-02-26",25,24
"2024-02-27",44,32
"2024-02-28",43,31
"2024-02-29",33,29
"2024-03-01",45,37
"2024-03-02",43,37
"2024-03-03",33,27
"2024-03-04",34,25
"2024-03-05",24,22
"2024-03-06",25,21
"2024-03-07",23,21
"2024-03-08",19,15
"2024-03-09",29,21
"2024-03-10",53,35
"2024-03-11",35,21
"2024-03-12",31,19
"2024-03-13",42,25
"2024-03-14",36,29
"2024-03-15",32,22
"2024-03-16",23,20
"2024-03-17",24,16
"2024-03-18",22,17
"2024-03-19",29,18
"2024-03-20",27,16
"2024-03-21",28,18
"2024-03-22",24,26
"2024-03-23",63,47
"2024-03-24",52,30
"2024-03-25",44,39
